Time,"symbol",last_ask,last_bid,avg_spread
2026-08-14 17:00:00.000000000,"GC\Z26",4432.1,4431.9,0.33524999999991223
2026-08-14 17:00:00.000000000,"GC\V26",4398.9,4398.6,0.4258064516129696
2026-08-14 16:59:00.000000000,"GC\Z26",4431.7,4431.3,0.3000000000001596
2026-08-14 16:59:00.000000000,"GC\U26",4382.5,4381.9,0.4931707317073987
2026-08-14 16:58:00.000000000,"GC\Z26",4431.1,4430.8,0.36479999999998836
2026-08-14 16:57:00.000000000,"GC\Z26",4431,4430.7,0.3220994475137981
2026-08-14 16:56:00.000000000,"GC\Z26",4431.3,4431,0.35472972972966216
2026-08-14 16:56:00.000000000,"GC\V26",4398.1,4397.7,0.4452531645570276
2026-08-14 16:55:00.000000000,"GC\Z26",4431.6,4431.3,0.32107438016540124
2026-08-14 16:55:00.000000000,"GC\V26",4398.4,4398,0.41882845188286955
2026-08-14 16:55:00.000000000,"GC\U26",4382.4,4381.9,0.5188034188034872
2026-08-14 16:54:00.000000000,"GC\Z26",4430.8,4430.5,0.3554878048780333
2026-08-14 16:54:00.000000000,"GC\U26",4381.6,4381.1,0.5554878048779456
2026-08-14 16:53:00.000000000,"GC\Z26",4431,4430.8,0.3296296296298183
2026-08-14 16:52:00.000000000,"GC\Z26",4431.2,4430.9,0.330054644808771
2026-08-14 16:52:00.000000000,"GC\V26",4398,4397.6,0.4295081967212936
2026-08-14 16:51:00.000000000,"GC\Z26",4430.9,4430.6,0.31563981042660666
2026-08-14 16:51:00.000000000,"GC\V26",4397.7,4397.3,0.41563981042644027
2026-08-14 16:50:00.000000000,"GC\Z26",4431,4430.7,0.3389473684211273
2026-08-14 16:49:00.000000000,"GC\Z26",4431.1,4430.8,0.3399999999999973
2026-08-14 16:48:00.000000000,"GC\Z26",4431.1,4430.8,0.3014705882352941
2026-08-14 16:48:00.000000000,"GC\V26",4397.9,4397.5,0.40147058823520315
2026-08-14 16:47:00.000000000,"GC\Z26",4431,4430.7,0.33069767441863596
2026-08-14 16:46:00.000000000,"GC\Z26",4431.5,4431,0.32426470588237905
2026-08-14 16:45:00.000000000,"GC\Z26",4431.3,4430.9,0.3103703703702464
2026-08-14 16:44:00.000000000,"GC\Z26",4430.5,4430.2,0.3084656084655132
2026-08-14 16:43:00.000000000,"GC\Z26",4431.2,4430.9,0.2724770642203737
2026-08-14 16:43:00.000000000,"GC\V26",4398,4397.6,0.3691588785046049
2026-08-14 16:42:00.000000000,"GC\Z26",4431.7,4431.3,0.2948863636363254
2026-08-14 16:41:00.000000000,"GC\Z26",4431.9,4431.6,0.27403314917131794
2026-08-14 16:40:00.000000000,"GC\Z26",4431.2,4431,0.25384615384610953
2026-08-14 16:40:00.000000000,"GC\V26",4398,4397.7,0.35384615384612356
2026-08-14 16:39:00.000000000,"GC\Z26",4430.9,4430.7,0.23803418803412119
2026-08-14 16:39:00.000000000,"GC\V26",4397.7,4397.4,0.3354581673306693
2026-08-14 16:38:00.000000000,"GC\Z26",4431.5,4431.3,0.2556886227544654
2026-08-14 16:38:00.000000000,"GC\V26",4398.3,4398,0.3469135802468619
2026-08-14 16:38:00.000000000,"GC\U26",4382.3,4381.9,0.43000000000011207
2026-08-14 16:37:00.000000000,"GC\Z26",4430,4429.8,0.2871921182266467
